p,nu,l_ks,l_bs,k,N,n,b_ks,b_bs,sigma_lwe,sigma_glwe,timing,p_error
3,5,2,1,3,256,664,1024,8388608,6.45390147483238e-14,1.4007417068030034e-14,2512.38,5.613232699408065e-18
3,10,2,1,3,256,664,1024,1048576,6.45390147483238e-14,1.4007417068030034e-14,2458.28,1.8759370675622272e-16
3,16,2,1,3,256,664,1024,262144,6.45390147483238e-14,1.4007417068030034e-14,2483.6,1.0903397540931632e-14
3,20,2,1,3,256,664,1024,1048576,6.45390147483238e-14,1.4007417068030034e-14,2469.76,2.5800541900275472e-15
3,25,2,1,3,256,664,1024,16777216,6.45390147483238e-14,1.4007417068030034e-14,2550.86,3.348954701714142e-16
3,31,2,1,3,256,606,8192,262144,1.517384284560596e-13,1.4007417068030034e-14,2328.36,1.5144522926326248e-15
3,35,2,1,3,256,664,1024,1048576,6.45390147483238e-14,1.4007417068030034e-14,2487.8,7.621092540544666e-18
3,40,2,1,3,256,664,1024,4194304,6.45390147483238e-14,1.4007417068030034e-14,2480.72,5.662063325316442e-19
3,46,2,1,3,256,664,1024,16777216,6.45390147483238e-14,1.4007417068030034e-14,2475.82,5.134208948494385e-19
3,50,2,1,3,256,664,1024,1048576,6.45390147483238e-14,1.4007417068030034e-14,2510.76,3.554282848490116e-18
3,55,2,1,3,256,664,1024,2097152,6.45390147483238e-14,1.4007417068030034e-14,2526.18,7.743649121932731e-13
3,61,2,1,3,256,619,4096,524288,1.245326858800236e-13,1.4007417068030034e-14,2338.06,4.841632112984184e-25
3,65,2,1,3,256,664,1024,16777216,6.45390147483238e-14,1.4007417068030034e-14,2525.26,3.3406830133595456e-17
3,70,2,1,3,256,664,1024,16777216,6.45390147483238e-14,1.4007417068030034e-14,2532.76,9.825580384478076e-20
3,76,2,1,3,256,664,1024,1048576,6.45390147483238e-14,1.4007417068030034e-14,2531.12,1.0765714102356862e-25
3,80,2,1,3,256,664,1024,16777216,6.45390147483238e-14,1.4007417068030034e-14,2530.42,2.4869555268210353e-27
3,85,2,1,3,256,664,1024,2097152,6.45390147483238e-14,1.4007417068030034e-14,2535.98,1.5015168598962413e-15
3,91,2,1,3,256,664,1024,2097152,6.45390147483238e-14,1.4007417068030034e-14,2512.76,3.0816885865763625e-21
3,95,2,1,3,256,664,1024,1048576,6.45390147483238e-14,1.4007417068030034e-14,2528.38,1.4219024074294777e-17
3,100,2,1,3,256,664,1024,2097152,6.45390147483238e-14,1.4007417068030034e-14,2515.3,3.236822430620072e-17
3,106,2,1,3,256,645,1024,1048576,8.475651766695428e-14,1.4007417068030034e-14,2461.5,6.3991775311731206e-18
3,110,2,1,3,256,664,1024,16777216,6.45390147483238e-14,1.4007417068030034e-14,2508.4,6.555581003325941e-17
3,115,2,1,3,256,664,1024,16777216,6.45390147483238e-14,1.4007417068030034e-14,2509.6,1.7455145835845832e-14
3,121,2,1,3,256,602,2048,1048576,1.589271818767392e-13,1.4007417068030034e-14,2271.06,4.2860578319420735e-15
3,125,2,1,3,256,664,1024,4194304,6.45390147483238e-14,1.4007417068030034e-14,2542.12,1.7129779507493892e-13
3,130,2,1,3,256,664,1024,8388608,6.45390147483238e-14,1.4007417068030034e-14,2536.36,1.7482123082784043e-14
3,136,2,1,3,256,664,1024,16777216,6.45390147483238e-14,1.4007417068030034e-14,2548.12,2.470426142040499e-13
3,140,2,1,3,256,664,1024,4194304,6.45390147483238e-14,1.4007417068030034e-14,2550.74,3.2830868233316898e-15
3,145,2,1,3,256,664,1024,8388608,6.45390147483238e-14,1.4007417068030034e-14,2548.08,5.8984117267646546e-18
5,6,3,1,2,512,640,128,131072,9.10417669287015e-14,3.2399166842810295e-16,3326.32,7.033055614992228e-22
5,11,3,1,2,512,720,128,1048576,2.8016696372342564e-14,3.2399166842810295e-16,3747.14,3.5832668763979665e-27
5,16,2,1,2,512,608,8192,262144,1.4652748899943098e-13,3.2399166842810295e-16,3065.32,2.66798805536639e-21
5,21,3,1,2,512,720,128,8388608,2.8016696372342564e-14,3.2399166842810295e-16,3744.18,3.951487281666881e-15
5,26,2,1,2,512,739,2048,524288,2.1182724026456542e-14,3.2399166842810295e-16,3738.36,1.3880035677519193e-16
5,31,2,1,2,512,622,4096,524288,1.1870051618683972e-13,3.2399166842810295e-16,3125.9,3.892434188409595e-20
5,36,3,1,2,512,720,128,16777216,2.8016696372342564e-14,3.2399166842810295e-16,3748.8,1.3461423506475585e-19
5,41,3,1,2,512,720,128,2097152,2.8016696372342564e-14,3.2399166842810295e-16,3747.98,1.0386414785956549e-22
5,46,3,1,2,512,697,128,1048576,3.939572749253704e-14,3.2399166842810295e-16,3622.36,2.9996813372240426e-21
5,51,3,1,2,512,720,128,4194304,2.8016696372342564e-14,3.2399166842810295e-16,3745.54,5.040816809202096e-17
5,56,2,1,2,512,637,2048,1048576,9.490019753749521e-14,3.2399166842810295e-16,3195.68,7.714325517577636e-24
5,61,2,1,2,512,643,4096,1048576,8.768226429730188e-14,3.2399166842810295e-16,3226.0,1.35255255433324e-26
5,66,3,1,2,512,720,128,8388608,2.8016696372342564e-14,3.2399166842810295e-16,3744.68,4.0729074677808406e-29
5,71,3,1,2,512,720,128,16777216,2.8016696372342564e-14,3.2399166842810295e-16,3728.88,4.5502286472438525e-21
5,76,3,1,2,512,720,128,16777216,2.8016696372342564e-14,3.2399166842810295e-16,3729.56,2.1807342953174477e-22
5,81,3,1,2,512,720,128,4194304,2.8016696372342564e-14,3.2399166842810295e-16,3742.66,4.032760853851002e-30
5,86,3,1,2,512,720,128,4194304,2.8016696372342564e-14,3.2399166842810295e-16,3750.06,2.5743361909854666e-19
5,91,3,1,2,512,713,128,2097152,3.139961544935415e-14,3.2399166842810295e-16,3756.36,3.0959117338444e-23
5,96,3,1,2,512,640,128,2097152,9.10417669287015e-14,3.2399166842810295e-16,3329.36,2.9552064936314745e-20
5,101,3,1,2,512,720,128,4194304,2.8016696372342564e-14,3.2399166842810295e-16,3715.44,1.2423367183358176e-20
5,106,2,1,2,512,712,2048,2097152,3.182058014278457e-14,3.2399166842810295e-16,3583.16,1.034514887410951e-27
5,111,2,1,2,512,649,2048,2097152,8.007273395541886e-14,3.2399166842810295e-16,3272.28,1.0973894022171637e-25
5,116,2,1,2,512,711,4096,2097152,3.2110419650227306e-14,3.2399166842810295e-16,3596.88,4.918043752391505e-24
5,121,2,1,2,512,654,4096,2097152,7.493451512864661e-14,3.2399166842810295e-16,3306.84,1.1742428850567156e-20
5,126,2,1,2,512,603,4096,2097152,1.584088555731817e-13,3.2399166842810295e-16,3016.72,6.140742372225593e-23
5,131,3,1,2,512,720,128,4194304,2.8016696372342564e-14,3.2399166842810295e-16,3720.14,6.730692259454969e-19
5,136,3,1,2,512,720,128,8388608,2.8016696372342564e-14,3.2399166842810295e-16,3712.4,9.08235012928735e-27
5,141,3,1,2,512,720,128,8388608,2.8016696372342564e-14,3.2399166842810295e-16,3730.2,1.5917713335282535e-19
5,146,3,1,2,512,720,128,8388608,2.8016696372342564e-14,3.2399166842810295e-16,3711.76,1.720551465478314e-21
17,5,5,1,1,2048,682,32,8388608,4.9344099871741057e-14,2.168404344971009e-19,10030.56,1.989236091268471e-16
17,10,5,1,1,2048,682,32,4194304,4.9344099871741057e-14,2.168404344971009e-19,10009.64,2.8729003200010085e-13
17,15,5,1,1,2048,682,32,4194304,4.9344099871741057e-14,2.168404344971009e-19,10011.46,1.4787653395418886e-17
17,20,2,1,1,2048,764,8192,2097152,1.4763679406182532e-14,2.168404344971009e-19,9939.52,4.948045378759172e-13
17,25,2,1,1,2048,646,16384,2097152,8.367836869074766e-14,2.168404344971009e-19,8340.92,1.589129093629474e-17
17,30,5,1,1,2048,682,32,8388608,4.9344099871741057e-14,2.168404344971009e-19,9998.78,5.373969968038371e-23
17,35,5,1,1,2048,682,32,16777216,4.9344099871741057e-14,2.168404344971009e-19,10015.64,1.8114513863346802e-14
17,40,2,1,1,2048,764,8192,4194304,1.4763679406182532e-14,2.168404344971009e-19,9926.4,1.4495178729608766e-16
17,45,2,1,1,2048,603,8192,4194304,1.5644624611053056e-13,2.168404344971009e-19,7819.62,2.3967496849879677e-15
17,50,2,1,1,2048,646,16384,4194304,8.367836869074766e-14,2.168404344971009e-19,8334.96,3.1658459097465584e-30
17,55,5,1,1,2048,682,32,8388608,4.9344099871741057e-14,2.168404344971009e-19,10000.82,6.988421240265138e-17
17,60,5,1,1,2048,682,32,8388608,4.9344099871741057e-14,2.168404344971009e-19,10004.28,1.8293693850402926e-17
17,65,5,1,1,2048,661,32,8388608,6.704637566393794e-14,2.168404344971009e-19,9759.2,8.736405017648411e-16
17,70,5,1,1,2048,682,32,16777216,4.9344099871741057e-14,2.168404344971009e-19,9992.38,1.0779771213648401e-16
17,75,5,1,1,2048,682,32,16777216,4.9344099871741057e-14,2.168404344971009e-19,10070.58,2.829765802585809e-16
17,80,2,1,1,2048,764,8192,8388608,1.4763679406182532e-14,2.168404344971009e-19,9927.14,4.2837158208084123e-16
17,86,2,1,1,2048,661,8192,8388608,6.714223451888591e-14,2.168404344971009e-19,8595.16,2.6888170204389387e-17
17,90,2,1,1,2048,603,8192,8388608,1.5644624611053056e-13,2.168404344971009e-19,7830.68,1.0522909473262783e-22
17,95,3,1,1,2048,658,512,8388608,7.039051438441419e-14,2.168404344971009e-19,8802.22,1.7911588250890816e-19
17,100,2,1,1,2048,646,16384,8388608,8.367836869074766e-14,2.168404344971009e-19,8309.64,8.821010483279615e-18
17,105,2,1,1,2048,622,32768,8388608,1.1989251387019398e-13,2.168404344971009e-19,8032.5,1.7571279336610084e-20
17,110,5,1,1,2048,682,32,16777216,4.9344099871741057e-14,2.168404344971009e-19,10019.1,1.1921692194145865e-15
17,115,5,1,1,2048,682,32,16777216,4.9344099871741057e-14,2.168404344971009e-19,10002.26,3.3832716672150596e-19
17,120,5,1,1,2048,682,32,16777216,4.9344099871741057e-14,2.168404344971009e-19,9999.52,4.9093667452371885e-15
17,125,5,1,1,2048,682,32,16777216,4.9344099871741057e-14,2.168404344971009e-19,10023.56,6.243715762801942e-16
17,130,5,1,1,2048,661,32,16777216,6.704637566393794e-14,2.168404344971009e-19,9763.08,5.223004368709818e-16
17,135,5,1,1,2048,613,32,16777216,1.3605708825107153e-13,2.168404344971009e-19,8921.68,3.358796515090231e-24
17,140,2,1,1,2048,998,8192,16777216,4.719520083709305e-16,2.168404344971009e-19,13084.32,7.861873073359872e-13
17,145,2,1,1,2048,930,8192,16777216,1.2773416757156746e-15,2.168404344971009e-19,12181.72,9.184922665005642e-14
17,150,2,1,1,2048,930,8192,16777216,1.2773416757156746e-15,2.168404344971009e-19,12181.72,9.184922665005642e-14
